points,price,size,psm,distance,floor,location,found_location,built,renewed,url
52.54762139462765,300.0,32.0,9.375,4.324570865289366,2,FUŽINE,"Fužine, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1260, Slovenija",1988,,https://www.nepremicnine.net/oglas¡-oddaja/fuzine-stanovanje_5788908/
38.145008784249015,99000.0,41.7,2374.1007194244603,1.2798645584469042,4,LJ. BEŽIGRAD,"Bicike(LJ), Vilharjeva cesta, Podhod Bežigrajska vrata, Župančičeva Jama, Bežigrad, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1000, Slovenija",1960,,https://www.nepremicnine.net/oglasi-prodaja/lj-bezigrad-stanovanje_6225936/
32.253017649786855,115000.0,50.59,2273.1765170982408,4.147542430717822,12,DRAVLJE,"Dravlje, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1117, Slovenija",1978,,https://www.nepremicnine.net/oglasi-prodaja/dravlje-stanovanje_6233737/
30.466355649966438,105000.0,43.02,2440.725244072524,3.4595413106747226,2,KOSEZE,"Koseze, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, SI-1000, Slovenija",1975,,https://www.nepremicnine.net/oglasi-prodaja/koseze-stanovanje_6232626/
30.466355649966438,105000.0,43.02,2440.725244072524,3.4595413106747226,2,"KOSEZE, ULICA FRANCA MLAKARJA 6","Koseze, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, SI-1000, Slovenija",1975,,https://www.nepremicnine.net/oglasi-prodaja/koseze-ulica-franca-mlakarja-6-stanovanje_6230261/
29.521748805577893,130000.0,68.0,1911.764705882353,6.48811361999464,VP,"ČRNUČE, LJ.","Črnuče, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1231, Slovenija",1986,,https://www.nepremicnine.net/oglasi-prodaja/crnuce-lj-stanovanje_6182292/
28.946355649966435,109500.0,43.0,2546.5116279069766,3.4595413106747226,2,KOSEZE,"Koseze, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, SI-1000, Slovenija",1975,,https://www.nepremicnine.net/oglasi-prodaja/koseze-stanovanje_6233576/
28.602078523807354,129000.0,49.7,2595.5734406438633,3.090167820952902,4,LJ. ŠIŠKA,"Mestna občina Lj. , služba za lok. samoupravo, 19a, Ljubeljska ulica, Šiška, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1000, Slovenija",1960,,https://www.nepremicnine.net/oglasi-prodaja/lj-siska-stanovanje_6230501/
27.94500878424901,109000.0,31.5,3460.3174603174602,1.2798645584469042,3,LJ. BEŽIGRAD,"Bicike(LJ), Vilharjeva cesta, Podhod Bežigrajska vrata, Župančičeva Jama, Bežigrad, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1000, Slovenija",1984,,https://www.nepremicnine.net/oglasi-prodaja/lj-bezigrad-stanovanje_6234434/
27.311675450915672,91900.0,26.0,3534.6153846153848,1.2798645584469042,2,LJ. BEŽIGRAD,"Bicike(LJ), Vilharjeva cesta, Podhod Bežigrajska vrata, Župančičeva Jama, Bežigrad, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1000, Slovenija",1978,,https://www.nepremicnine.net/oglasi-prodaja/lj-bezigrad-stanovanje_6223762/
27.088415472244556,97000.0,56.4,1719.8581560283687,6.48811361999464,2,ČRNUČE,"Črnuče, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1231, Slovenija",1926,,https://www.nepremicnine.net/oglasi-prodaja/crnuce-stanovanje_6220286/
25.05524550254765,95000.0,28.3,3356.8904593639577,1.7920744127218966,1,"BEŽIGRAJSKI DVOR, NEUBERGERJEVA ULICA","Bežigrajski dvor, Podhod Bežigrajski dvor, Župančičeva Jama, Bežigrad, Ljubljana, Upravna Enota Ljubljana, Osrednjeslovenska, 1000, Slovenija",1968,,https://www.nepremicnine.net/oglasi-prodaja/bezigrajski-dvor-neubergerjeva-ulica-stanovanje_6220798/
