new,points,price,location,size,url,distance,active,first_capture_date,last_capture_date,found_location,built,floor,page,text
False,180,180.0,zg. šiška,33.0,https://www.nepremicnine.net/oglasi-oddaja/zg-siska-stanovanje_6360942/,2.8790541203676154,True,2020-09-07 13:40:58.826069,2020-09-14 12:00:02.279280,"<[OK] Osm - Geocode [Šiška, Ljubljana, Upravna Enota Ljubljana, 1001, Slovenija]>",1975.0,VP,nepremicnine,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca zg. šiškastrong , 33 m2, 1-sobno, v stavbi zgrajeni l. 1975, visoko pritličje, oddaja stanovanja študentki ( sobivanje z eno osebo - ženska ). stanovanje se nahaja v bližini potniškega prometa - postaja, nasproti mercator c.šiška, oddamo. cena: 180,00 eurmesdiv 
	    div class= kratek stanovanje je primerno tudi za študente.div 
        
        
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=6360942 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    div id= obcina_stats_append div div class= kontakt-opis h3 kontaktni podatkih3 p 
    zasebna ponudbabr tel.: a href= tel:031846-415 onclick= trackoutboundlink('0.zasebna ponudba 031846-415', 'oglas-click-tel'); 031846-415a p div"
False,130,280.0,"ljubljana, šiška, celovška 264",19.2,https://www.nepremicnine.net/oglasi-oddaja/lj-siska-celovska-264-stanovanje_6358188/,2.4399780367682053,True,2020-09-14 12:00:02.279280,2020-09-14 12:00:02.279280,"<[OK] Osm - Geocode [Celovška cesta, Šiška, Ljubljana, Upravna Enota Ljubljana, 1001, Slovenija]>",1985.0,9,nepremicnine,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca lj. šiška, celovška 264strong , 19,2 m2, garsonjera, zgrajena l. 1985, adaptirana l. 2014, 912 nad., garsonjera v lipi bo prosta s 1. oktobrom oddam za najmanj 12 mesecev, oddamo. cena: cca 280,00 eurmesdiv 
	    div class= kratek stanovanje je primerno tudi za študente.div 
        
        energ. razred:
        div class= icon16 ei ei-6 ddiv  (60 - 105 kwhm2a)
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=6358188 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    div id= obcina_stats_append div 
          div class= web-opis 
            h3 dodaten opish3 div itemprop= disambiguatingdescription p oddam garsonjero v lipi opremljeno z mini kuhinjo, kopalnico, pralni strojem in dvema ležiščemap p cena najema 280€ mesečno, možen popust za večmesečno vnaprejšnje plačilo, varščina v višini ene najemnine, stroški se gibljejo od 50 do 100€p div br nepremicnine.net(c). div 
        div class= kontakt-opis h3 kontaktni podatkih3 p 
    zasebna ponudbabr tel.: a href= tel:041588-454 onclick= trackoutboundlink('0.zasebna ponudba 041588-454', 'oglas-click-tel'); 041588-454a p div"
False,110,300.0,"ljubljana, vič, kančeva ulica",35.0,https://www.nepremicnine.net/oglasi-oddaja/lj-vic-kanceva-ulica-stanovanje_6362534/,2.9380395595470548,True,2020-09-14 12:00:02.279280,2020-09-14 12:00:02.279280,"<[OK] Osm - Geocode [Kančeva ulica, Vrhovci, Ljubljana, Upravna Enota Ljubljana, 1127, Slovenija]>",1965.0,1,nepremicnine,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca lj. vič, kančeva ulicastrong , 35 m2, 1-sobno, zgrajeno l. 1965, 11 nad., stanovanje v vrstni hiši z ločenim vhodom je opremljeno, primerno za eno osebo, balkon, parkirišče za 1 vozilo, fiksni mesečni stroški v višini 120 eurmesec, v času ogrevanja dodtno še 30 eurmesec (internet že vključen v fiksnih mesečnih stroških), varščina, vseljivo z oktobrom, oddamo. cena: 300,00 eurmesdiv 
	    
        
        energ. razred:
        div class= icon16 ei ei-8 fdiv  (150 - 210 kwhm2a)
