built,floor,location,parsed,price,renewed,size,text,url
1987,,Ljubljana - Bežigrad,19.02.2019 ,115000.0,,43.3,"table class= main-table  tr td id= box-oglas-levo  								table class= oglas-podatki  tr td regija: td td b osrednjeslovenskab td tr tr td kraj: td td b ljubljanab td tr tr td predel: td td b bežigradb td tr tr td kraj ali naselje: td td b ljubljana - bežigradb td tr tr td posredovanje: td 										          td b prodamb td 										        tr tr td tip stanovanja: td 										          td b 1-sobnob td 										        tr tr td stanje objekta: td 										          td b rabljenob td 										        tr tr td leto izgradnje: td td b 1987b td tr tr td velikost (msup 2sup ): td td b 43.3b td tr tr td energetski razred: td 										          td b d   (60 - 105 kwhm2a)b td 										        tr tr td šifra pri prodajalcu: td td b 3316jb td tr tr td ime in priimek agenta: td td b jana terteib td tr tr td tel. številka: td td b +386 40 860 000b td tr tr td elektronski naslov: td td a href= mailto:abc@abc.si  abc@abc.sia td tr tr td št.licence: td td b 52b td tr table br br br strong dodatni opis:strong br p b bežigrad, polanškovab , 43, 3m2, enosobno stanovanje se nahaja v urejenem, nizkem bloku zgrajenem leta 1987, na mirni, zeleni  lokaciji v bližini vse infrastrukture trgovine, pošte, banke, vrtca, šole, avtobusne postaje, …in hkrati blizu zelenih, rekreativnih in pohodnih površin ( dobeno, rašica, …) stanovanje je zelo prijetno, funkcionalno in prostorno, ki nudi ugodno in kvalitetno bivanje. sestoji iz predsobe, kuhinje z jedilnico, velike sobe, kopalnice z wc-jem.p p prodajalec oz. lastnik nepremičnine pogojuje plačilo provizije posredovanja v višini 4 % + ddv na način, da kupec plača polovico omenjene obveznosti oziroma 2% + ddv od pogodbeno dogovorjene cene.p  br br br br br td 		td id= box-oglas-desno  		!--ostali_podatki-- 								td 							tr tr tr table",http://www.bolha.com/nepremicnine/stanovanja/stanovanja-ljubljana/stanovanje-1-sobno-ljubljana-mesto-bezigrad-433-m2-prodaja-1341971795.html
1976,1,,19.02.2019 ,134900.0,,47.2,"table class= main-table  tr td id= box-oglas-levo  								table class= oglas-podatki  tr td regija: td td b osrednjeslovenskab td tr tr td kraj: td td b ljubljanab td tr tr td predel: td td b bežigradb td tr tr td naslov: td td b puhova ulicab td tr tr td posredovanje: td 										          td b prodamb td 										        tr tr td tip stanovanja: td 										          td b 1-sobnob td 										        tr tr td stanje objekta: td 										          td b rabljenob td 										        tr tr td leto izgradnje: td td b 1976b td tr tr td leto zadnje adaptacije: td td b 2011b td tr tr td velikost (msup 2sup ): td td b 47,20b td tr tr td nadstropje: td 										          td b 1b td 										        tr tr td skupno št. nadstropij: td td b 4b td tr tr td energetski razred: td 										          td b d   (60 - 105 kwhm2a)b td 										        tr tr td šifra pri prodajalcu: td td b koda: p1281pub td tr table br br br strong dodatni opis:strong br  lj-bežigrad, puhova ulica, bs 3 - 47, 2 m2, 14nad., zgrajeno 1976, adaptirano 2011, (okna, kuhinja, kopalnica, radiatorji, elektro inštalacija), svetlo s prijetno energijo, br br zastekljen podaljšan balkon, spalnica predeljena v dva prostora, parkiranje za rampo, v bližini vsa potrebna infrastruktora, vpisano v zk., odličen nakup. cena: 134.900, 00 eurbr br koda: p1281pubr br br br hiša nepremičnine 1 d.o.o. – centrala ljubljanabr br za dodatno posredovanje podatkov o predmetni nepremičnini pokličite na brezplačni  tel. 080 87 89, sprejemna pisarna družbe hiša nepremičnine 1 d.o.o. in se dogovorite za sestanek z nepremičninskim posrednikom.br br pred prodajo vaše nepremičnine pokličite na brezplačni tel. 080 87 89 in se dogovorite za termin z našimi nepremičninskimi strokovnjaki, ki so vam na voljo za vsa vprašanja - posvet pred prodajo. (brezplačno)br br hvala za zaupanje, se priporočamo !br br br td 		td id= box-oglas-desno  		!--ostali_podatki-- 								td 							tr tr tr table",http://www.bolha.com/nepremicnine/stanovanja/stanovanja-ljubljana/stanovanje-osrednjeslovenska-ljubljana-bezigrad-1-sobno-472-m2-prodam-1342043972.html
1950,,Ljubljana - Šiska,19.02.2019 ,105000.0,,82.0,"table class= main-table  tr td id= box-oglas-levo  								table class= oglas-podatki  tr td regija: td td b osrednjeslovenskab td tr tr td kraj: td td b ljubljanab td tr tr td predel: td td b šiškab td tr tr td kraj ali naselje: td td b ljubljana - šiskab td tr tr td posredovanje: td 										          td b prodamb td 										        tr tr td tip stanovanja: td 										          td b 3-sobnob td 										        tr tr td stanje objekta: td 										          td b rabljenob td 										        tr tr td leto izgradnje: td td b 1950b td tr tr td leto zadnje adaptacije: td td b 2017b td tr tr td velikost (msup 2sup ): td td b 82b td tr tr td energetski razred: td 										          td b -b td 										        tr tr td šifra pri prodajalcu: td td b 3204jb td tr tr td ime in priimek agenta: td td b jana terteib td tr tr td tel. številka: td td b +386 40 860 000b td tr tr td elektronski naslov: td td a href= mailto:abc@abc.si  abc@abc.sia td tr tr td št.licence: td td b 52b td tr table br br br strong dodatni opis:strong br p b smlednik, hrašeb , 82m2 stan.površine, trisobno stanovanje v celoti obnovljeno leta 2017 se nahaja  v urejeni dvostanovanjski hiši na mirni, zeleni lokaciji in hkrati blizu vse infrastrukture, avtobusna postaja, trgovina, pošta, ..... stanovanje je izredno prijetno, svetlo, prostorno in fukcionalno, ki nudi ugodno in kvalitetno bivanje. poleg hiše je lastniški del vrta in garaža ter shrambe. stanovanje je v celoti opremljeno.p p prodajalec oz. lastnik nepremičnine pogojuje plačilo provizije posredovanja v višini 4 % + ddv na način, da kupec plača polovico omenjene obveznosti oziroma 2% + ddv od pogodbeno dogovorjene cene.p p  p  br br br br br td 		td id= box-oglas-desno  		!--ostali_podatki-- 								td 							tr tr tr table",http://www.bolha.com/nepremicnine/stanovanja/stanovanja-ljubljana/stanovanje-3-sobno-ljubljana-mesto-siska-smlednik-82-m2--1337997349.html
1998,Mansarda,Ljubljana - Moste,19.02.2019 ,119000.0,,60.1,"table class= main-table  tr td id= box-oglas-levo  								table class= oglas-podatki  tr td regija: td td b osrednjeslovenskab td tr tr td kraj: td td b ljubljanab td tr tr td predel: td td b mosteb td tr tr td kraj ali naselje: td td b ljubljana - mosteb td tr tr td posredovanje: td 										          td b prodamb td 										        tr tr td tip stanovanja: td 										          td b 2.5-sobnob td 										        tr tr td stanje objekta: td 										          td b rabljenob td 										        tr tr td leto izgradnje: td td b 1998b td tr tr td velikost (msup 2sup ): td td b 60.1b td tr tr td nadstropje: td 										          td b mansardab td 										        tr tr td energetski razred: td 										          td b d   (60 - 105 kwhm2a)b td 										        tr tr td šifra pri prodajalcu: td td b 389psab td tr tr td ime in priimek agenta: td td b alen komićb td tr tr td tel. številka: td td b +386 40 83 00 00b td tr tr td elektronski naslov: td td a href= mailto:abc@abc.si  abc@abc.sia td tr tr td št.licence: td td b 1766b td tr table br br br strong dodatni opis:strong br p v zalogu v ljubljani prodamo 2, 5-sobno stanovanje, ki se nahaja v mansardi oz. 2. nadstropju (od 2eh) 6-stanovanjskega bloka zgrajenega leta 1998. bruto površina meri 60, 1 m2 pri čemer je neto površina cca. 48 m2, balkon meri cca. 6 m2, shramba pa tudi cca. 6 m2.p p razporeditev prostorov: predsoba, kopalnica z banjo, kuhinja z jedilnico in dnevnim prostorom z izhodom na balkon, spalnica, kabinet.p p stanovanje je lepo vzdrževano in v celoti opremljeno. oprema je po dogovoru. orientacija: dnevna soba s kuhinjo na vzhod, spalnica in kabinet na jug in kopalnica na sever. ogrevanje je urejeno etažno na mestni plin (lastna peč). objekt ima svojega upravnika. parkiranje je mogoče na skupnih površinah okoli bloka.p p v oddaljenosti 300-400 metrov se nahaja praktično vsa pomembna infrastruktura: trgovina spar, lpp in železniška postaja, pošta, banka, šola, vrtec.p p stanovanje je vpisano v zk in bremen prosto. vseljivo v roku 2-3 mesecev.p p prodajalec oz. lastnik nepremičnine pogojuje plačilo provizije posredovanja v višini 4 % + ddv na način, da kupec plača polovico omenjene obveznosti oziroma 2% + ddv od pogodbeno dogovorjene cene.p  br br br br br br b opremab br ul class= avto_oglas  li balkonli li shramba v kletili ul br b priključkib br ul class= avto_oglas  li telefonli li klimali ul td 		td id= box-oglas-desno  		!--ostali_podatki-- 								td 							tr tr tr table",http://www.bolha.com/nepremicnine/stanovanja/stanovanja-ljubljana/stanovanje-25-sobno-ljubljana-mesto-moste-polje-zalog-601-m2--1338265793.html
1994,,Ljubljana-Šentvid,19.02.2019 ,115000.0,,51.0,"table class= main-table  tr td id= box-oglas-levo  								table class= oglas-podatki  tr td regija: td 		          td b ljubljanab td 		        tr tr td kraj: td 		          td b šentvidb td 		        tr tr td kraj ali naselje: td td b ljubljana-šentvidb td tr tr td naslov: td td b 1210b td tr tr td posredovanje: td 										          td b prodamb td 										        tr tr td tip stanovanja: td 										          td b 2-sobnob td 										        tr tr td stanje objekta: td 										          td b rabljenob td 										        tr tr td leto izgradnje: td td b 1994b td tr tr td velikost (msup 2sup ): td td b 51b td tr tr td vrt, terasa (msup 2sup ): td td b 31b td tr tr td energetski razred: td 										          td b e   (105 - 150 kwhm2a)b td 										        tr tr td šifra pri prodajalcu: td td b 490191071-55b td tr tr td ime in priimek agenta: td td b manja valdhuberb td tr tr td tel. številka: td td b 070 247 063b td tr tr td elektronski naslov: td td a href= mailto:manja.valdhuber@re-max.si  manja.valdhubera td tr table br br br strong dodatni opis:strong br ul class= avto_oglas  li opremljenoli li z razgledomli ul  posredujemo pri prodaji zelo simpatičnega dvosobnega stanovanja v šentvidu, ki se nahaja v pritličju sedem stanovanjske hiše. stanovanje zajema predsobo, dnevni prostor z jedilnico, kuhinjo, , spalnico in kopalnico. prostori so svetli in orientirani na južno stran stavbe.br  talne obloge so lamelni parket in keramika, stavbno pohištvo je pvc. ogrevanje je urejeno na individualno plinsko peč, tako da je strošek ogrevanja po porabi.br  mesečni obratovalni stroški so cca 150eur (upravitelj, elektrika, telekomunikacije, ogrevanje, voda, odvoz smeti, rezervni sklad).br  oprema ostane po dogovoru. k stanovanju pripada lastniško parkirno mesto pred stavbo in majhen atrij v izmeri 16m2, neposredno ob vhodu v stanovanje.br   trenutno je stanovanje oddano v najem. priporočamo kot investicijo.br  stavba ima veljavno gradbeno dovoljenje.br  lokacija je zelo lepa, malenkost dvignjena z odprtim pogledom. v neposredni bližini je pošta, trgovina merkator, avtobusna postaja.. v bližini so tudi številne sprehajalne poti in gozd za hiter pobeg v naravo. br  kupec plača del provizije v višini 2% + ddv.br  vabljeni k ogledu in k dajanju ponudb. cena ni dokončna. priporočamo vsem, ki želijo živeti le steljaj od mesta a vseeno v naravi.br  dvosobno stanovanje v pritličjubr br br br a rel= external nofollow  target= _blank  href= http:www.bolha.combsrpujozupntx2ktssovyevv5if536a_itca8recu5fadjftlwjqfm5ft4klgb5?adid=1338370502&amp;dst=external&amp;source=addetail&amp;action=tourl&amp;target=external&amp;redirectfrom=http:www.bolha.comnepremicninestanovanjastanovanja-ljubljanastanovanje-comma-osrednjeslovenska-comma-ljubljana-sentvid-comma-2-sobno-comma-51-m2-comma-period-period-period--1338370502.html&amp;ts=1550614093  več podatkov si oglejte na tej povezavi …a br br br br td 		td id= box-oglas-desno  		!--ostali_podatki-- 								td 							tr tr tr table",http://www.bolha.com/nepremicnine/stanovanja/stanovanja-ljubljana/stanovanje-comma-osrednjeslovenska-comma-ljubljana-sentvid-comma-2-sobno-comma-51-m2-comma-period-period-period--1338370502.html
1900,Mansarda,,19.02.2019 ,129500.0,,67.5,"table class= main-table  tr td id= box-oglas-levo  								table class= oglas-podatki  tr td regija: td td b osrednjeslovenskab td tr tr td kraj: td td b ljubljanab td tr tr td predel: td td b poljeb td tr tr td naslov: td td b ob zaloški cestib td tr tr td posredovanje: td 										          td b prodamb td 										        tr tr td tip stanovanja: td 										          td b 2.5-sobnob td 										        tr tr td stanje objekta: td 										          td b rabljenob td 										        tr tr td leto izgradnje: td td b 1900b td tr tr td leto zadnje adaptacije: td td b 2013b td tr tr td velikost (msup 2sup ): td td b 67,50b td tr tr td nadstropje: td 										          td b mansardab td 										        tr tr td energetski razred: td 										          td b ei v izdelavib td 										        tr tr td šifra pri prodajalcu: td td b b154b td tr table br br br strong dodatni opis:strong br  ob zaloški cesti, v bližini ac obroča prodamo urejeno dvoinpolsobno  stanovanje v skupni izmeri dela stavbe 67, 5 m2 (neto 59, 00 m2),  ki se nahaja  v m1.  nadstr. ( mansarda)  vzdrževane in delno adaptirane štiristanovanjske hiše , zgrajene leta 1900, leto zadnje adaptacije objekta 2013 (nova kritina na strehi, fasada) obsega predprostor,  kopalnico z wc-jem, dodatni wc, kuhinjo z večjo jedilnico, dnevno sobo, spalnico, kabinet in  balkon.  stanovanje je bilo delno obnovljeno v letih od 2010 do 2013, (nova okna, podi, delno keramika...) v ceni je zajeta tudi pripadajoča lastniška zaprta garaža na dvorišču in dodatno še dve zunanji parkirišči.br br ogrevanje je s centralno kurjavo na  trda goriva, oziroma lesno maso (ločeno – lastna etažna peč), ločeni števci za elektriko in vodo, priključek na internet (telemach - kabelski).  v  bližini je vsa infrastruktura:  avtobusna postaja šola, vrtec, trgovine in ostalo v bližini … zelo hiter dostop do ac. br br stroški so nizki (cca 110-120 eur mesečno)br br zk urejeno, etažirano in brez bremen!br br cena: 129.500 eurbr br koda: b154br br zaračunamo posredniško storitev v višini 4%+ddv, na način, da se provizija enakovredno deli med prodajalca in kupca (2%+2%+ddv).br br td 		td id= box-oglas-desno  		!--ostali_podatki-- 								td 							tr tr tr table",http://www.bolha.com/nepremicnine/stanovanja/stanovanja-ljubljana/stanovanje-osrednjeslovenska-ljubljana-polje-2-5-sobno-6750-m2-prodam-1339091420.html
1978,3,Dravlje,19.02.2019 ,125000.0,,45.6,"table class= main-table  tr td id= box-oglas-levo  								table class= oglas-podatki  tr td regija: td td b osrednjeslovenskab td tr tr td kraj: td td b ljubljanab td tr tr td predel: td td b šiškab td tr tr td kraj ali naselje: td td b dravljeb td tr tr td naslov: td td b kunaverjeva ulicab td tr tr td posredovanje: td 										          td b prodamb td 										        tr tr td tip stanovanja: td 										          td b 1.5-sobnob td 										        tr tr td stanje objekta: td 										          td b rabljenob td 										        tr tr td leto izgradnje: td td b 1978b td tr tr td velikost (msup 2sup ): td td b 45,60b td tr tr td nadstropje: td 										          td b 3b td 										        tr tr td skupno št. nadstropij: td td b 10b td tr tr td energetski razred: td 										          td b b2 (25 - 35 kwhm2a)b td 										        tr tr td tel. številka: td td b 051692390,030612211b td tr table br br br strong dodatni opis:strong br  prodam zelo prijetno in svetlo 1, 5 sobno stanovanje v urejenem naselju na kunaverjevi ulici v dravljah – neposredna bližina celotne infrastrukture (vrtec, osnovna šola, avtobusno postajališče, več trgovin). br stanovanje obsega predsobo, svetel, dnevno-bivalni prostor z izhodom na zastekljen balkon, kopalnico, kuhinjo in otroško sobo. okna v celotnem stanovanju ter na balkonu so bila zamenjana z novimi (satler).br prav tako stanovanju pripada lastniška klet (2, 73m2). v skupni uporabi je tudi kolesarnica, zamrežena postaja za odvoz smeti.br daljinsko ogrevanje (novejši radiatorji), vsi priključki, optika…br dostop do stavbe z brezstičnim ključem, možnost parkiranja pod garažami pred blokom. br zk stanje urejeno, brez bremen, vseljivo takoj.br br za več informacij prosim pokličite: 051692-390 oz. 030612-211br br br br br b opremab br ul class= avto_oglas  li balkonli li shramba v kletili li dvigaloli li dostopno za invalideli li vpisano v zemljiško knjigoli ul br b priključkib br ul class= avto_oglas  li toplovodli li plinovodli li domofonli li optikali ul br b okolicab br ul class= avto_oglas  li mestni prometli li poštali li bankali li vrtecli li osnovna šolali li trgovinali li avtobusna postajali li igriščeli li zdravstveni domli li železniška postajali li park, zelene površineli ul td 		td id= box-oglas-desno  		!--ostali_podatki-- 								td 							tr tr tr table",http://www.bolha.com/nepremicnine/stanovanja/stanovanja-ljubljana/stanovanje-osrednjeslovenska-ljubljana-siska-dravlje-1-5-sobno-456-m2-prodam-1339277177.html
1930,Pritličje,bližina stadiona,19.02.2019 ,109800.0,,60.0,"table class= main-table  tr td id= box-oglas-levo  								table class= oglas-podatki  tr td regija: td td b osrednjeslovenskab td tr tr td kraj: td td b ljubljanab td tr tr td predel: td td b bežigradb td tr tr td kraj ali naselje: td td b bližina stadionab td tr tr td posredovanje: td 										          td b prodamb td 										        tr tr td tip stanovanja: td 										          td b 2-sobnob td 										        tr tr td stanje objekta: td 										          td b rabljenob td 										        tr tr td leto izgradnje: td td b 1930b td tr tr td velikost (msup 2sup ): td td b 60,00b td tr tr td nadstropje: td 										          td b pritličjeb td 										        tr tr td energetski razred: td 										          td b ei v izdelavib td 										        tr tr td šifra pri prodajalcu: td td b b157b td tr table br br br strong dodatni opis:strong br br v bližini starega stadiona za bežigradom prodamo solidno vzdrževano dvosobno polkletno stanovanje , s površino etažne enote v izmeri 60, 00 m2, od tega čiste stanovanjske površine 50, 00 m2 + 10, 00 m2 shrambe v istem nivoju, katero je po potrebi zelo enostavno mogoče spremeniti v dodatno sobo, saj ima tudi okno. lokacija je odlična, blizu vse infrastrukture, ac obroča in centra mesta. stanovanje ni orientirano na ulico, ampak je obrnjeno v dvorišče in je vsled tega mirno, pa tudi dovolj svetlo, kljub temu, da je polkletno. obsega predprostor, kopalnico z wc-jem, manjšo prehodno kuhinjo, dnevni prostor z jedilnico, večjo sobo, kabinet in veliko shrambo. z manjšim posegom bi bilo možno narediti dve manši enoti (soglasje od sostanovalcev je po izjavi prodajalcev že pridobljeno) vsakokratnemu lastniku stanovanja po etažnem elaboratu pripadata dve parkirišči na skupnem zemljišču ob stavbi.br br br poslovno-stanovanjska stavba iz leta 1930 je bila v celoti obnovljena leta 2016 (fasada, streha, okna). ogrevanje je z električnimi radiatorji, možen pa je tudi priklop na mestni plinovod. vsi ostali priključki so urejeni. stroški so zmerni.br br vseljivo po dogovoru!br br zk urejeno, etažirano in brez bremen!br br br koda: b157br br zaračunamo posredniško storitev v višini 4%+ddv, na način, da se provizija enakovredno deli med prodajalca in kupca (2%+2%+ddv).br br br br td 		td id= box-oglas-desno  		!--ostali_podatki-- 								td 							tr tr tr table",http://www.bolha.com/nepremicnine/stanovanja/stanovanja-ljubljana/stanovanje-osrednjeslovenska-ljubljana-bezigrad-blizina-stadiona-2-sobno-6000-m2-prodam-1339591178.html
1912,,Polje,19.02.2019 ,134500.0,,49.6,"table class= main-table  tr td id= box-oglas-levo  								table class= oglas-podatki  tr td regija: td td b osrednjeslovenskab td tr tr td kraj: td td b ljubljanab td tr tr td predel: td td b mosteb td tr tr td kraj ali naselje: td td b poljeb td tr tr td posredovanje: td 										          td b prodamb td 										        tr tr td tip stanovanja: td 										          td b 2-sobnob td 										        tr tr td stanje objekta: td 										          td b rabljenob td 										        tr tr td leto izgradnje: td td b 1912b td tr tr td leto zadnje adaptacije: td td b 1997b td tr tr td velikost (msup 2sup ): td td b 49,60b td tr tr td energetski razred: td 										          td b d   (60 - 105 kwhm2a)b td 										        tr tr td ime in priimek agenta: td td b alexeja urbančičb td tr tr td tel. številka: td td b +386 51 681 666b td tr tr td elektronski naslov: td td a href= mailto:alexeja.urbancic@stan.si  alexeja.urbancica td tr table br br br strong dodatni opis:strong br  a vas posredujemo pri prodaji prijetnega 2 sobnega stanovanja z naslednjo razporeditvijo: predsoba, hodnik, kopalnica, dnevna soba v povezavi z kuhinjo, jedilni prostor in soba.br br bivalna površina stanovanja znaša 39, 1 m2 h kateri prištejemo še kletno shrambo v izmeri 3, 10 m2.br br parkiranje je omogočeno ob objektu, v bližini pa je celotna infrastruktura kot so trgovine, hiter dostop do obvoznice, osnovne šole, vrtci, pošta, …br br streha je bila obnovljena l. 2018, samo stanovanje je bilo v celoti prenovljeno l. 1997, okna pa l. 2016.br br stanovanje se nahaja v večstanovanjski hiši in je v postopku vzpostavljanja etažne lastnine.br br vabljeni na ogled.br br prodajalčev ponudbeni pogoj: kupec prevzame del stroška za posredovanje (2% pogodbene vrednosti + 22% ddv).br br br b opremab br ul class= avto_oglas  li shramba v kletili li vpisano v zemljiško knjigoli ul br b okolicab br ul class= avto_oglas  li mestni prometli li poštali li bankali li vrtecli li osnovna šolali li trgovinali li avtobusna postajali li park, zelene površineli ul td 		td id= box-oglas-desno  		!--ostali_podatki-- 								td 							tr tr tr table",http://www.bolha.com/nepremicnine/stanovanja/stanovanja-ljubljana/stanovanje-osrednjeslovenska-ljubljana-moste-polje-2-sobno-496-m2-prodam-1340068388.html
1938,1,Tacen,19.02.2019 ,119000.0,,55.0,"table class= main-table  tr td id= box-oglas-levo  								table class= oglas-podatki  tr td regija: td td b osrednjeslovenskab td tr tr td kraj: td td b ljubljanab td tr tr td predel: td td b šmarna gorab td tr tr td kraj ali naselje: td td b tacenb td tr tr td posredovanje: td 										          td b prodamb td 										        tr tr td tip stanovanja: td 										          td b 2.5-sobnob td 										        tr tr td stanje objekta: td 										          td b rabljenob td 										        tr tr td leto izgradnje: td td b 1938b td tr tr td leto zadnje adaptacije: td td b 2018b td tr tr td velikost (msup 2sup ): td td b 55,00b td tr tr td vrt, terasa (msup 2sup ): td td b 2,00b td tr tr td nadstropje: td 										          td b 1b td 										        tr tr td energetski razred: td 										          td b c   (35 - 60 kwhm2a)b td 										        tr tr td ime in priimek agenta: td td b svetlana pecnikb td tr tr td tel. številka: td td b 030923925b td tr tr td elektronski naslov: td td a href= mailto:svetlana.pecnik@gmail.com  svetlana.pecnika td tr table br br br strong dodatni opis:strong br  prodamo stanovanje, ker smo kupili hiso. stanovanje je renovirano in je takoj primerno za vselitev.stanovanje je v stanovanjski hisi (3stanovanja).pripada mu tudi klet 6 kvadratov. hisa bo v prihodnosti potrebna obnove fasade in strehe.stanovanje ima v uporabi podstresje, ki je  prav tako 55 kvadratov. to se uporablja za shranjevanje odvecnih stvari. stanovanje je znotranje strani izolirano .ogrevanje na peleti, zato so stroski ogrevanja nizki.pred hiso je postaja kjer vsak dan solski kombi poskrbi, da otroci varno pridejo v solo.prav tako je avtobusna postaja lpp- stevika 8 .primerno je tudi za odajanje preko bookinga, airbnb...zaradi dostopa do avtoceste 1km odaljenost. z avtom do centra je potrebno 20 min.v stanovanju so nova protivlomna vrata vovko od avgusta 2018 in komarniki zmontirani od poletja2018. etazna lastnina se ni vzpostavljenja, vendar smo v dogovoru, da postopek kmalu se zacne.hisa ima tudi uporabno dovoljenje po zakonu, kar pomeni da je stavba legalna. oprema lahko ostane v stanovanju vsa po dogovoru.vselitev 1.4. 2019br br br b opremab br ul class= avto_oglas  li balkonli li shramba v kletili li več parkirnih mestli li vpisano v zemljiško knjigoli ul br b priključkib br ul class= avto_oglas  li centralna kurjavali li telefonli li domofonli li kabelski internetli li klimali li optikali li ogrevanje na biomasoli ul br b okolicab br ul class= avto_oglas  li mestni prometli li poštali li bankali li vrtecli li osnovna šolali li trgovinali li avtobusna postajali li igriščeli li zdravstveni domli li park, zelene površineli ul td 		td id= box-oglas-desno  		!--ostali_podatki-- 								td 							tr tr tr table",http://www.bolha.com/nepremicnine/stanovanja/stanovanja-ljubljana/stanovanje-osrednjeslovenska-ljubljana-smarna-gora-tacen-2-5-sobno-55-m2-prodam-1340436236.html
