page,capture_date,location,price,size,built,floor,url,text
nepremicnine,2020-09-06T14:23:26.077537,BEŽIGRAJSKI DVOR,450.0,27.3,2010,3,https://www.nepremicnine.net/oglasi-oddaja/bezigrajski-dvor-stanovanje_6360871/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca bežigrajski dvorstrong , 27,3 m2, 1-sobno, adaptirano l. 2010, 33 nad., urejeno, svetlo stanovanje, primerno za max. dva študenta. dodatno: ck, internet, skupno parkirišče pred blokom, 1,7 m2 kleti, oddamo. cena: cca 450,00 eurmesdiv 
	    div class= kratek stanovanje je primerno tudi za študente.div 
        div v bližini se nahajajo: br  -- ekonomska fakulteta br -- fakulteta za socialno delo br -- pedagoška fakulteta br br div 
        energ. razred:
        div class= icon16 ei ei-9998 div  ei v izdelavi
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=6360871 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    div id= obcina_stats_append div 
          div class= web-opis 
            h3 dodaten opish3 div itemprop= disambiguatingdescription p cena najema : 450 eurmesec + stroški (50-100 eur vključno z internetom)p p stanovanje oddamo nekadilcem, brez živali, zahtevana varščinap p specifikacije :p p okna so bila zamenjana v 2020 (troslojna, zvočna izolacija, +zunanje žaluzije, +komarniki)p p v stanovanju smo v procesu zamenjave celotnega pohištva (spalnica, kopalnica, predsoba).p p stanovanje bo pripravljeno za vselitev po 21.9.2020p div br nepremicnine.net(c). div 
        div class= kontakt-opis h3 kontaktni podatkih3 p 
    zasebna ponudbabr tel.: a href= tel:041502-521 onclick= trackoutboundlink('0.zasebna ponudba 041502-521', 'oglas-click-tel'); 041502-521a p div"
nepremicnine,2020-09-06T14:23:26.077537,BRDO,200.0,16.0,1962,1,https://www.nepremicnine.net/oglasi-oddaja/brdo-stanovanje_6359755/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca brdostrong , 16 m2, soba, zgrajena l. 1962, adaptirana l. 2020, 100 m2 zemljišča, 12 nad., + dodatno še 8 eno- in dvoposteljnih sob na 2 nadstropjih, internet, tv, souporaba kuhinje in kopalnice, možnost parkiranja, oddamo. cena: 200,00 eurmesdiv 
	    div class= kratek stanovanje je primerno tudi za študente.div 
        div v bližini se nahajajo: br  -- biotehniška fakulteta br -- fakulteta za kemijo in kemijsko tehnologijo br -- fakulteta za matematiko in fiziko br br div 
        energ. razred:
        div class= icon16 ei ei-9999 div  ei ni potrebna (334.člen ez-1)
        !---- 
    div id= obcina_stats_append div 
          div class= web-opis 
