built,floor,location,parsed,price,renewed,size,url
1975,,"Ljubljana, Šiška",02.01.2019 ,109500.0,,43.0,https://mojikvadrati.com/nepremicnina/180728-prodaja-stanovanje-1-sobno-ljubljana-siska
,,"Ljubljana, Šiška",02.01.2019 ,125000.0,,55.0,https://mojikvadrati.com/nepremicnina/181137-prodaja-stanovanje-3-sobno-ljubljana-siska
1971,,Ljubljana,02.01.2019 ,135000.0,,46.4,https://mojikvadrati.com/nepremicnina/181603-prodaja-stanovanje-2-sobno-ljubljana
1904,,"Ljubljana, Šiška",02.01.2019 ,116950.0,,71.3,https://mojikvadrati.com/nepremicnina/180556-prodaja-stanovanje-3-sobno-ljubljana-siska
1965,Pritličje,"Ljubljana, Moste-Polje, Polje",02.01.2019 ,117000.0,,43.8,https://mojikvadrati.com/nepremicnina/180787-prodaja-stanovanje-1-5-sobno-ljubljana-moste-polje
1904,,"Ljubljana, Šiška",02.01.2019 ,80000.0,,43.1,https://mojikvadrati.com/nepremicnina/180559-prodaja-stanovanje-1-5-sobno-ljubljana-siska
1975,2,"Ljubljana, Šiška",02.01.2019 ,105000.0,,43.02,https://mojikvadrati.com/nepremicnina/180364-prodaja-stanovanje-1-5-sobno-ljubljana-siska
1962,1,"Ljubljana, Šiška",02.01.2019 ,135000.0,,55.6,https://mojikvadrati.com/nepremicnina/180048-prodaja-stanovanje-2-sobno-ljubljana-siska
1965,,"Ljubljana, Šiška",02.01.2019 ,130000.0,,49.8,https://mojikvadrati.com/nepremicnina/180624-prodaja-stanovanje-1-sobno-ljubljana-siska
2010,,"Ljubljana, Center",02.01.2019 ,850.0,,60.0,https://mojikvadrati.com/nepremicnina/180352-prodaja-stanovanje-2-sobno-ljubljana-center
1990,1/2,"Ljubljana, Vič-Rudnik, Rudnik",02.01.2019 ,134000.0,,47.0,https://mojikvadrati.com/nepremicnina/176650-prodaja-stanovanje-2-5-sobno-ljubljana-vic-rudnik
1920,,"Ljubljana, Center",02.01.2019 ,119000.0,,46.0,https://mojikvadrati.com/nepremicnina/177514-prodaja-stanovanje-2-sobno-ljubljana-center
1898,1/3,"Ljubljana, Šiška",02.01.2019 ,135000.0,,47.7,https://mojikvadrati.com/nepremicnina/175922-prodaja-stanovanje-3-sobno-ljubljana-siska
1960,4/4,"Ljubljana, Šiška",02.01.2019 ,119000.0,,46.0,https://mojikvadrati.com/nepremicnina/178469-prodaja-stanovanje-2-sobno-ljubljana-siska
1971,,"Ljubljana, Center",02.01.2019 ,135000.0,,50.9,https://mojikvadrati.com/nepremicnina/178833-prodaja-stanovanje-1-sobno-ljubljana-center
1930,,"Ljubljana, Bežigrad",02.01.2019 ,109800.0,,60.0,https://mojikvadrati.com/nepremicnina/177138-prodaja-stanovanje-2-sobno-ljubljana-bezigrad
1912,,"Ljubljana, Moste-Polje, Polje",02.01.2019 ,134500.0,,49.6,https://mojikvadrati.com/nepremicnina/178608-prodaja-stanovanje-2-sobno-ljubljana-moste-polje
,Pritličje,"Ljubljana, Bežigrad",02.01.2019 ,127000.0,,44.0,https://mojikvadrati.com/nepremicnina/177689-prodaja-stanovanje-2-sobno-ljubljana-bezigrad
1930,,"Ljubljana, Bežigrad",02.01.2019 ,119000.0,,50.0,https://mojikvadrati.com/nepremicnina/176668-prodaja-stanovanje-2-sobno-ljubljana-bezigrad
1976,,"Ljubljana, Moste-Polje, Moste",02.01.2019 ,84900.0,,57.0,https://mojikvadrati.com/nepremicnina/176226-prodaja-stanovanje-2-5-sobno-ljubljana-moste-polje
1994,,"Ljubljana, Šiška, Šentvid",02.01.2019 ,128000.0,,50.5,https://mojikvadrati.com/nepremicnina/170717-prodaja-stanovanje-2-sobno-ljubljana-siska
1926,2/2,"Ljubljana, Bežigrad, Črnuče",02.01.2019 ,97000.0,,48.0,https://mojikvadrati.com/nepremicnina/168385-prodaja-stanovanje-3-sobno-ljubljana-bezigrad
1998,Mansarda/penthouse,"Ljubljana, Moste-Polje, Zalog",02.01.2019 ,119000.0,,60.1,https://mojikvadrati.com/nepremicnina/167862-prodaja-stanovanje-2-5-sobno-ljubljana-moste-polje
,,"Ljubljana, Moste-Polje",02.01.2019 ,105000.0,,45.0,https://mojikvadrati.com/nepremicnina/171018-prodaja-stanovanje-garsonjera-ljubljana-moste-polje
1923,Klet/2,"Ljubljana, Vič-Rudnik, Kolezija",02.01.2019 ,127000.0,,45.0,https://mojikvadrati.com/nepremicnina/170285-prodaja-stanovanje-2-sobno-ljubljana-vic-rudnik
1940,,"Ljubljana, Vič-Rudnik",02.01.2019 ,119000.0,,120.1,https://mojikvadrati.com/nepremicnina/167427-prodaja-stanovanje-3-sobno-ljubljana-vic-rudnik
1983,7,"Ljubljana, Šiška",02.01.2019 ,133000.0,,48.06,https://mojikvadrati.com/nepremicnina/167605-prodaja-stanovanje-1-sobno-ljubljana-siska
19632018,,"Ljubljana, Moste-Polje",02.01.2019 ,99000.0,,44.0,https://mojikvadrati.com/nepremicnina/169455-prodaja-stanovanje-2-sobno-ljubljana-moste-polje
1960,,"Ljubljana, Šiška",02.01.2019 ,129000.0,,49.7,https://mojikvadrati.com/nepremicnina/170688-prodaja-stanovanje-2-sobno-ljubljana-siska
1931,,"Ljubljana, Moste-Polje",02.01.2019 ,107000.0,,60.1,https://mojikvadrati.com/nepremicnina/170894-prodaja-stanovanje-3-sobno-ljubljana-moste-polje
1997,,"Ljubljana, Bežigrad, Savlje",02.01.2019 ,89000.0,,49.3,https://mojikvadrati.com/nepremicnina/143662-prodaja-stanovanje-2-sobno-ljubljana-bezigrad
1905,,"Ljubljana, Center",02.01.2019 ,129000.0,,54.89,https://mojikvadrati.com/nepremicnina/163121-prodaja-stanovanje-2-sobno-ljubljana-center
1960,,"Ljubljana, Center",02.01.2019 ,129000.0,,49.7,https://mojikvadrati.com/nepremicnina/158667-prodaja-stanovanje-1-5-sobno-ljubljana-center
1998,Mansarda/penthouse,"Ljubljana, Moste-Polje, Moste",02.01.2019 ,100000.0,,87.83,https://mojikvadrati.com/nepremicnina/133709-prodaja-stanovanje-2-5-sobno-ljubljana-moste-polje
1946,Mansarda/penthouse/1,"Ljubljana, Bežigrad, Črnuče",02.01.2019 ,119500.0,,70.4,https://mojikvadrati.com/nepremicnina/154291-prodaja-stanovanje-2-5-sobno-ljubljana-bezigrad
1889,,"Ljubljana, Center",02.01.2019 ,134000.0,,45.5,https://mojikvadrati.com/nepremicnina/156109-prodaja-stanovanje-1-sobno-ljubljana-center
1803,1/1,"Ljubljana, Bežigrad, Črnuče",02.01.2019 ,129000.0,,66.0,https://mojikvadrati.com/nepremicnina/135638-prodaja-stanovanje-3-sobno-ljubljana-bezigrad
1986,Visoko pritličje/3,"Ljubljana, Bežigrad, Črnuče",02.01.2019 ,135000.0,,44.2,https://mojikvadrati.com/nepremicnina/154040-prodaja-stanovanje-1-5-sobno-ljubljana-bezigrad
2008,,"Ljubljana, Vič-Rudnik",02.01.2019 ,2477.0,,147.0,https://mojikvadrati.com/nepremicnina/151889-prodaja-stanovanje-4-sobno-ljubljana-vic-rudnik
2000,3/3,"Ljubljana, Bežigrad, Črnuče",02.01.2019 ,130000.0,,49.6,https://mojikvadrati.com/nepremicnina/163710-prodaja-stanovanje-2-sobno-ljubljana-bezigrad
