built,floor,location,parsed,price,renewed,size,text,url
1973,3,DRAVLJE,19.02.2019 ,129900.0,,46.58,"div id= opis  
                div class= kratek  itemprop= description  strong class= rdeca  dravljestrong , 46,58 m2, 1,5-sobno, zgrajeno l. 1973, adaptirano l. 2011, 34 nad., prodamo. cena: 129.900,00 eurdiv 
	        
                
                
                !--br  a rel= nofollow  href= extform-kontakt.php?form=nepremicnine&id=6231964  class= potrdi gumb cbox iframe send_ask  pošlji povpraševanjebr   ali ponudi menjavo svoje nepremičninea -- 
        br div class= lbl  style= width:auto;  šifra oglasa:div  div class= dsc  strong ps1574245936808strong div br div id= obcina_stats_append  div 
                    div class= web-opis  
                        h3 dodaten opish3 div itemprop= disambiguatingdescription  p strong enoinpolsobno stanovanje 46,58 m2, v 3. nadstropju, dravljestrong br 
v objektu zgrajenem l. 1973 v dravljah, prodamo opremljeno enoinpolsobno stanovanje, ki se nahaja v tretjem nadstropju od štirih.  stanovanje je locirano na mirni in zeleni lokaciji. objekt v katerem se nahaja stanovanje je zelo lepo vzdrževan.br 
nakup primeren tudi kot investicija za oddajanje.p 

p strong površinastrong br 
stanovanje meri 44,30 m2 bivalne površine,  ter shramba v pritličju v izmeri 2,28 m2.p 

p strong razporeditev in legastrong br 
stanovanje obsega predsobo, kopalnico z wc, kuhinjo, spalnico, dnevni prostor z izhodom na balkon.  stanovanje je v celoti opremljeno. lega je jugovzhodna.p 

p strong oprema in prenovastrong br 
stanovanje je bilo v celoti adaptirano. obnovljene stene, tlaki, cevi, radiatorji, okna, napeljava, novi elektrini bojler, protivlomna vrata val. novo je celotno pohištvo razen kuhinje.p 

p strong parkirno mesto  garažastrong br 
urejeno parkiranje ob bloku.p 

p strong priključkistrong br 
internet – optika.br 
ogrevanje – nova plinska kotlovnica. zelo varčni, nizki stroški. termostati na radiatorjih.p 

p strong lokacija in infrastrukturastrong br 
v bližini je vsa infrastruktura. (šola, vrtec, trgovina, lekarna, storitvene dejavnosti)p 

p strong dodatnostrong br 
vseljivo meseca do meseca marca. vpisano v zk.p 

p vabljeni na ogled! p 



div br  nepremicnine.net(c). div 
                div class= kontakt-opis  h3 kontaktni podatkih3 p 
        mreža nepremičnin d.o.o. br cesta 24. junija 23br 1231 ljubljana-črnučebr tel.: a href= tel:041390-621  onclick= trackoutboundlink('mreža nepremičnin d.o.o. 041390-621', 'oglas-click-tel');  041390-621a  tatjana cajhen, a href= tel:041669-086  onclick= trackoutboundlink('mreža nepremičnin d.o.o. 041669-086', 'oglas-click-tel');  041669-086a  pisarnap div ",https://www.nepremicnine.net/oglasi-prodaja/dravlje-stanovanje_6231964/
1930,PK,"KOLEZIJA, LJ.",19.02.2019 ,120000.0,,43.0,"div id= opis  
                div class= kratek  itemprop= description  strong class= rdeca  kolezija, lj.strong , 43 m2, 2-sobno, zgrajeno l. 1930, adaptirano l. 2018, 300 m2 zemljišča, pk2 nad., prodamo stanovanje na mirni lokaciji v bližini centra mesta z možnostjo parkiranja, prodamo. cena: max. 120.000,00 eurdiv 
	        
                
                energ. razred:
                div class= icon16 ei ei-9998  div  ei v izdelavi
                !--br  a rel= nofollow  href= extform-kontakt.php?form=nepremicnine&id=6215357  class= potrdi gumb cbox iframe send_ask  pošlji povpraševanjebr   ali ponudi menjavo svoje nepremičninea -- 
        div id= obcina_stats_append  div 
                    div class= web-opis  
                        h3 dodaten opish3 div itemprop= disambiguatingdescription  p prijetno in prostorno stanovanje najbolj primerno za posameznike ali pare. stanovanje se sestoji iz prostorne spalnice ter kuhijne, jedilnice in dnevne sobe v enem prostoru ter kopalnice ki je preko skupnega prehoda. stanovanju pripada sorazmerni delež zemljišča (18%) okoli hiše kjer je urejen in ograjen vrt za druženje in piknike. stanovanje ima tudi možnost parkiranja ob zgradbi.p div br  nepremicnine.net(c). div 
                div class= kontakt-opis  h3 kontaktni podatkih3 p 
        zasebna ponudbabr tel.: a href= tel:031375-997  onclick= trackoutboundlink('0.zasebna ponudba 031375-997', 'oglas-click-tel');  031375-997a  alešp div ",https://www.nepremicnine.net/oglasi-prodaja/kolezija-lj-stanovanje_6215357/
1923,K,KOLEZIJA,19.02.2019 ,127000.0,,51.0,"div id= opis  
                div class= kratek  itemprop= description  strong class= rdeca  kolezijastrong , 51 m2, 2-sobno, zgrajeno l. 1923, adaptirano l. 2018, k2 nad., svetlo dvosobno polkletno stanovanje, na odlični lokaciji v bližini centra, prodamo. cena: 127.000,00 eurdiv 
	        
                
                energ. razred:
                div class= icon16 ei ei-7  ediv  (105 - 150 kwhm2a)
                !--br  a rel= nofollow  href= extform-kontakt.php?form=nepremicnine&id=6235772  class= potrdi gumb cbox iframe send_ask  pošlji povpraševanjebr   ali ponudi menjavo svoje nepremičninea -- 
        br div class= lbl  style= width:auto;  šifra oglasa:div  div class= dsc  strong p3185strong div br div id= obcina_stats_append  div 
                    div class= web-opis  
                        h3 dodaten opish3 div itemprop= disambiguatingdescription  p strong dvosobno polkletno stanovanje v večstanovanjski vili v kolezijistrong br strong (polkletno2 nadstropje, l. 1923, v celoti prenovljeno 2018)strong p 
p stanovanje se nahaja v večstanovanjski vili na odlični, mirni lokaciji v bližini centra. je izredno funkcionalno , lepo opremljeno, sobi sta praktično razporejeni, je prostorno, svetlo in v celoti obnovljeno ter opremljeno. oprema je vključena v ceno. parkiranje je možno pred vilo. možnost izgradnje atrija.   p 
p strong osnovne značilnostistrong p 
ul li parkirno mesto: pred viloli 
li prenovljeno: v celoti l. 2018li 
li možnost izdelave atrijali 
ul p strong površinastrong p 
ul li skupne površine: 51 m2li 
li bivalne površine: 45 m2li 
li kleti: 6 mli 
ul p strong razporeditevstrong  strong sobstrong p 
ul li vstopni hodnikli 
li kopalnica s tušemli 
li dnevno bivalni prostor s kuhinjo in jedilnicoli 
li spalnicali 
ul p strong opremastrong p 
ul li oprema vključena v ceno: da  vsa oprema je vključena v ceno in ostane v stanovanju.li 
li vsa oprema je nova, kupljena oziroma nameščena l. 2018li 
li klima: neli 
ul p strong prenovastrong p 
ul li l. 2018li 
ul p strong priključkistrong p 
ul li internet: optikali 
li ogrevanje: centralna kurjavali 
ul p strong legastrong p 
ul li jugvzhodli 
ul p strong infrastrukturastrong p 
p stanovanje se nahaja v bližini mestnega jedra na mirni lokaciji v koleziji. lokacija nudi vse prednosti mestnega življenja, hkrati pa omogoča hitri pobeg v naravo in aktivno preživljanje prostega časa. udobno in sproščeno bivanje nudi vsa infrastruktura osnovna šola, vrtec, pošta, lekarna, gostinski lokali so v neposredni bližini.p 
p strong ostalo ponudbo naših nepremičnin, novogradenj ter iskalcev nepremičnin si lahko ogledate na spodnji povezavi nad referenčno številko!strong p div br  nepremicnine.net(c). div 
                div class= kontakt-opis  h3 kontaktni podatkih3 p 
        mesto nepremičnin d.o.o. br podmilščakova ulica 25br 1000 ljubljanabr tel.: a href= tel:031758-972  onclick= trackoutboundlink('mesto nepremičnin d.o.o. 031758-972', 'oglas-click-tel');  031758-972a  niko maučec, a href= tel:051650-777  onclick= trackoutboundlink('mesto nepremičnin d.o.o. 051650-777', 'oglas-click-tel');  051650-777a  pisarna, a href= tel:01507-10-60  onclick= trackoutboundlink('mesto nepremičnin d.o.o. 01507-10-60', 'oglas-click-tel');  01507-10-60a  pisarnap div ",https://www.nepremicnine.net/oglasi-prodaja/kolezija-stanovanje_6235772/
1923,PK,KOLEZIJA,19.02.2019 ,127900.0,,42.0,"div id= opis  
                div class= kratek  itemprop= description  strong class= rdeca  kolezijastrong , 42 m2, 1-sobno, zgrajeno l. 1923, adaptirano l. 2018, pk2 nad., prodamo. cena: 127.900,00 eurdiv 
	        
                
                energ. razred:
                div class= icon16 ei ei-7  ediv  (105 - 150 kwhm2a)
                !--br  a rel= nofollow  href= extform-kontakt.php?form=nepremicnine&id=6192721  class= potrdi gumb cbox iframe send_ask  pošlji povpraševanjebr   ali ponudi menjavo svoje nepremičninea -- 
        br div class= lbl  style= width:auto;  šifra oglasa:div  div class= dsc  strong ps01981nostrong div br div id= obcina_stats_append  div 
                    div class= web-opis  
                        h3 dodaten opish3 div itemprop= disambiguatingdescription  p na odlični lokaciji na koleziji, prodamo popolnoma obnovljeno 1 sobno stanovanje, ki se nahaja v staromeščanski hiši, zgrajeni leta 1928. stanovanje se nahaja v polkleti in mu pripada del vrta ter parkirno mesto na urejenem dvorišču pred hišo. stanovanje, skupne tlorisne površine 42 m2, obsega dve veliki sobi ter manjšo kopalnico, ki je dostopna preko skupnega hodnika. pripada mu še manjša shramba v istem nivoju. ogrevanje je na elektriko, upravnika ni. p 

p v bližini se nahaja vsa potrebna infrastruktura. do samega mestnega jedra vas loči le nekaj minut hoje.p 

p vabljeni k ogledu. p 

p pogoj nakupa: stroški provizije za opravljeno storitev posredovanja se razdelijo na način, da kupec plača provizijo v višini 2% +ddv.p div br  nepremicnine.net(c). div 
                div class= kontakt-opis  h3 kontaktni podatkih3 p 
        ljubljana nepremičnine d.o.o. br cesta na brdo 69br 1000 ljubljanabr tel.: a href= tel:01244-50-00  onclick= trackoutboundlink('ljubljana nepremičnine d.o.o. 01244-50-00', 'oglas-click-tel');  01244-50-00a , a href= tel:030313-005  onclick= trackoutboundlink('ljubljana nepremičnine d.o.o. 030313-005', 'oglas-click-tel');  030313-005a  nataša  osojnikp div ",https://www.nepremicnine.net/oglasi-prodaja/kolezija-stanovanje_6192721/
1963,4,"KODELJEVO, CENA JE FIKSNA",19.02.2019 ,131000.0,,59.2,"div id= opis  
                div class= kratek  itemprop= description  strong class= rdeca  kodeljevo, cena je fiksnastrong , 59,2 m2, 2-sobno, zgrajeno l. 1963, adaptirano l. 2012, 44 nad., prodamo. cena: 131.000,00 eurdiv 
	        
                
                
                !--br  a rel= nofollow  href= extform-kontakt.php?form=nepremicnine&id=6238472  class= potrdi gumb cbox iframe send_ask  pošlji povpraševanjebr   ali ponudi menjavo svoje nepremičninea -- 
        br div class= lbl  style= width:auto;  šifra oglasa:div  div class= dsc  strong ps17102nmrstrong div br div id= obcina_stats_append  div 
                    div class= web-opis  
                        h3 dodaten opish3 div itemprop= disambiguatingdescription  prijetno vzdrževano in svetlo stanovanje v objektu brez dvigala na kodeljevem. stanovanje obsega predprostor, kuhinjo, dnevni prostor z balkonom, sobo in kopalnico. stanovanje ima zahodno lego. parkiranje pred objektom, pripadajoča  shramba. v stanovanju trenutno ni urejeno centralno ogrevanje-trenutno ogrevanje na elektriko. mesečni stroški cca 200 €.div br  nepremicnine.net(c). div 
                div class= kontakt-opis  h3 kontaktni podatkih3 p 
        stoja trade, d.o.o., ljubljana br dolenjska cesta 242cbr 1000 ljubljanabr tel.: a href= tel:030641-681  onclick= trackoutboundlink('stoja trade, d.o.o., ljubljana 030641-681', 'oglas-click-tel');  030641-681a  nataša mulej, a href= tel:01280-08-60  onclick= trackoutboundlink('stoja trade, d.o.o., ljubljana 01280-08-60', 'oglas-click-tel');  01280-08-60a p div ",https://www.nepremicnine.net/oglasi-prodaja/kodeljevo-cena-je-fiksna-stanovanje_6238472/
1973,3,"DRAVLJE, PLEŠIČEVA",19.02.2019 ,129900.0,,46.6,"div id= opis  
                div class= kratek  itemprop= description  strong class= rdeca  dravlje, plešičevastrong , 46,6 m2, 2-sobno, zgrajeno l. 1973, 3. nad., v urejenem stanovanjskem bloku na plešičevi prodamo 2-sobno stanovanje bivalne površine 40,8 m2 z zelo uporabno tlorisno razporeditvijo, prodamo. cena: 129.900,00 eurdiv 
	        
                
                energ. razred:
                div class= icon16 ei ei-6  ddiv  (60 - 105 kwhm2a)
                !--br  a rel= nofollow  href= extform-kontakt.php?form=nepremicnine&id=6230990  class= potrdi gumb cbox iframe send_ask  pošlji povpraševanjebr   ali ponudi menjavo svoje nepremičninea -- 
        div id= obcina_stats_append  div 
                    div class= web-opis  
                        h3 dodaten opish3 div itemprop= disambiguatingdescription  p stanovanje zajema hodnik z večjo garderobno omaro, spalnico, kuhinjo z jedilnim kotom, kopalnico z wcjem ter večji bivalni prostor z balkonom površine 2,70m2.p 
p prenova stanovanja je obsegala menjavo oken in namestitev protivlomnih vhodnih vrat, menjavo radiatorjev centralne kurjave, brušenje in lakiranje parketa, prenovo odtočnih in vodnih inštalacij, namestitev nove keramike (kopalnica in predprostor) ter kopalniškega sanitarnega pohištva in opreme. za zagotavljanje lažjega dostopa v spalnico so bila nameščena kasetna drsna vrata v spalnico.p 
p večstanovanjski blok je bil toplotno saniran z nameščeno dodatno izolacijo in novo fasado, zamenjana so tudi okna v skupnih prostorih stavbe. zagotovljenih več širokopasovnih komunikacij (do 120mbs).p 
p stanovajne se nahaja na lokaciji z ugodnim prometnim izhodiščem in zagotavlja prijetno bivanje v mirni soseski. na voljo zadostno število parkirnih mest.p 
p pogoj nakupa: pogoj prodajalca za nakup nepremičnine je plačilo opravljenih storitev posredovanja v višini 4% dogovorjene kupnine + ddv na način, da kupec plača polovico navedene obveznosti oziroma 2% +ddv.p 
p vabljeni na ogled.p div br  nepremicnine.net(c). div 
                div class= kontakt-opis  h3 kontaktni podatkih3 p 
        sinep družba za investiranje d.o.o. br močilnikarjeva ulica 11br 1260 ljubljana-poljebr tel.: a href= tel:040705-060  onclick= trackoutboundlink('sinep družba za investiranje d.o.o. 040705-060', 'oglas-click-tel');  040705-060a p div ",https://www.nepremicnine.net/oglasi-prodaja/dravlje-plesiceva-stanovanje_6230990/
1982,6,DRAVLJE,19.02.2019 ,135000.0,,48.4,"div id= opis  
                div class= kratek  itemprop= description  strong class= rdeca  dravljestrong , 48,4 m2, 2-sobno, zgrajeno l. 1982, adaptirano l. 2006, 68 nad., prodamo. cena: 135.000,00 eurdiv 
	        
                
                energ. razred:
                div class= icon16 ei ei-6  ddiv  (60 - 105 kwhm2a)
                !--br  a rel= nofollow  href= extform-kontakt.php?form=nepremicnine&id=6238912  class= potrdi gumb cbox iframe send_ask  pošlji povpraševanjebr   ali ponudi menjavo svoje nepremičninea -- 
        div id= obcina_stats_append  div 
                    div class= web-opis  
                        h3 dodaten opish3 div itemprop= disambiguatingdescription  p dvosobno stanovanje, nup  45,50m2+klet 3,10m2, vi. nadstropje, dvigalo, ck, stanovanje je tekoče vzdrževano, l.2006 obnovljena okna, l. 2010 obnovljena vhodna vrata stanovanja (v garanciji), l. 2003 obnovljena streha stanovanjske stavbe, stanovanje se prodaja opremljeno z novo kuhinjo izdelano po meri, oprema bosch, prenovljena kopalnica, l. 2003 zamenjana radiatorja, lega-vzhod, stanovanje je takoj vseljivo.p 
p energetski    razred:  dp 
p prodajalčev oz. lastnikov pogoj pri prodaji nepremičnine je, da kupec prevzame plačilo polovičnega zneska za posredovanje od 4%+ddv pogodbeno dogovorjene vrednosti. kupec plača provizijo v višini 2%+ddv od pogodbeno dogovorjene vrednosti.p div br  nepremicnine.net(c). div 
                div class= kontakt-opis  h3 kontaktni podatkih3 p 
        pbo nepremičnine, most inženiring d.o.o. br trg zbora odposlancev 59br 1330 kočevjebr tel.: a href= tel:01895-07-50  onclick= trackoutboundlink('pbo nepremičnine, most inženiring d.o.o. 01895-07-50', 'oglas-click-tel');  01895-07-50a , a href= tel:051641-785  onclick= trackoutboundlink('pbo nepremičnine, most inženiring d.o.o. 051641-785', 'oglas-click-tel');  051641-785a p div ",https://www.nepremicnine.net/oglasi-prodaja/dravlje-stanovanje_6238912/
1803,1,ČRNUČE,19.02.2019 ,129000.0,,81.7,"div id= opis  
                div class= kratek  itemprop= description  strong class= rdeca  črnučestrong , 81,7 m2, 3-sobno, zgrajeno l. 1803, 1. nad., prodamo. cena: 129.000,00 eurdiv 
	        
                
                
                !--br  a rel= nofollow  href= extform-kontakt.php?form=nepremicnine&id=6195512  class= potrdi gumb cbox iframe send_ask  pošlji povpraševanjebr   ali ponudi menjavo svoje nepremičninea -- 
        div id= obcina_stats_append  div 
                    div class= web-opis  
                        h3 dodaten opish3 div itemprop= disambiguatingdescription  p v črnučah, v štiristanovanjski hiši, prodamo 3-sobno stanovanje, v skupni izmeri 81,7m2.p 
p strong stanovanje obsegastrong  kopalnico, dnevni prostor, kuhinjo in dve sobi. stanovanju pripada tudi shramba. za preživljanje prostega časa je na voljo prikupen vrt ob hiši.p 
p centralno strong ogrevanjestrong  z lastno pečjo na kurilno olje.  p 
p strong parkiranjestrong  je možno pred hišo.p 
p v bližini je vsa potrebna strong infrastrukturastrong  (trgovine, banka pošta, lpp, šola, vrtec...).p 
p strong vabimo vas, da si našo dodatno ponudbo nepremičnin ogledate na spletni strani http:www.mp-projekt.sistrong p div br  nepremicnine.net(c). div 
                div class= kontakt-opis  h3 kontaktni podatkih3 p 
        mp projekt d.o.o. br jezerska cesta 41br 4000 kranjbr tel.: a href= tel:031372-999  onclick= trackoutboundlink('mp projekt d.o.o. 031372-999', 'oglas-click-tel');  031372-999a p div ",https://www.nepremicnine.net/oglasi-prodaja/crnuce-stanovanje_6195512/
1978,4,"BS 3, MAROLTOVA ULICA",19.02.2019 ,135000.0,,50.96,"div id= opis  
                div class= kratek  itemprop= description  strong class= rdeca  bs 3, maroltova ulicastrong , 50,96 m2, 1,5-sobno, zgrajeno l. 1978, 44 nad., v zeleni, prijazni soseski bs3 prodajamo takoj vseljivo stanovanje. ni dvigala, prodamo. cena: 135.000,00 eurdiv 
	        
                
                energ. razred:
                div class= icon16 ei ei-6  ddiv  (60 - 105 kwhm2a)
                !--br  a rel= nofollow  href= extform-kontakt.php?form=nepremicnine&id=6237223  class= potrdi gumb cbox iframe send_ask  pošlji povpraševanjebr   ali ponudi menjavo svoje nepremičninea -- 
        div id= obcina_stats_append  div 
                    div class= web-opis  
                        h3 dodaten opish3 div itemprop= disambiguatingdescription  p stanovanje meri: 50,96 m2; soba 18,48 m2, soba 7,65 m2, hodnik 3,22 m2, kopalnica 3,62, kuhinja 11,85; loža 0,67 m2, klet 1,10 m2, ter pravico souporabe skupnih delov in naprav ter funkcionalnega zemljišča ki pripada stanovanju.p 
p za ogled prosim pokličite na telefon br 030 255 539 sonjap 
p nepremičninske agencije prosimo, da nas ne kontaktirate.p div br  nepremicnine.net(c). div 
                div class= kontakt-opis  h3 kontaktni podatkih3 p 
        zasebna ponudbabr tel.: a href= tel:041230-619  onclick= trackoutboundlink('0.zasebna ponudba 041230-619', 'oglas-click-tel');  041230-619a p div ",https://www.nepremicnine.net/oglasi-prodaja/bs-3-maroltova-ulica-stanovanje_6237223/
1977,4,"BS 3, BLIŽINA FAKULTET",19.02.2019 ,135000.0,,51.0,"div id= opis  
                div class= kratek  itemprop= description  strong class= rdeca  bs 3, bližina fakultetstrong , 51 m2, 1,5-sobno,  penthouse , zgrajeno l. 1977, adaptirano l. 2010, 44 nad., v naselju bs3 vam studio68 predstavlja stanovanje s pogledom proti kamniškim alpam z lepo urejeno okolico, v katerem si lahko ustvarite prijeten dom. bližina fakultet in celotna infrastruktura je primerna tudi za oddajanje, prodamo. cena: 135.000,00 eurdiv 
	        
                
                energ. razred:
                div class= icon16 ei ei-9998  div  ei v izdelavi
                !--br  a rel= nofollow  href= extform-kontakt.php?form=nepremicnine&id=6245852  class= potrdi gumb cbox iframe send_ask  pošlji povpraševanjebr   ali ponudi menjavo svoje nepremičninea -- 
        div id= obcina_stats_append  div 
                    div class= web-opis  
                        h3 dodaten opish3 div itemprop= disambiguatingdescription  p lokacija omogoča hiter dostop do obvoznice, centra ljubljane, bližnje narave in rekreacijskih površin na pst.p 
p do stanovanja se sprehodimo po strong zunanjem urejenem pokritem hodnikustrong , kjer si bomo vsakodnevno nabirali kondicijo in krepili naše zdravje. vstopimo v strong varovan hodnik strong in naprej do našega stanovanja. iz vhodne strong vežestrong  z garderobo lahko vstopimo v strong kopalnicostrong  ali do osrednjega dela z strong jedilnicostrong , preko katerega dostopamo do strong sobestrong , strong dnevnega prostora strong  - sedaj strong spalnicestrong , strong kuhinjestrong  in strong balkonastrong .p 
p strong v letu 2010 so bila zamenjana oknastrong . stanovanju pripada strong klet. strong strong parkiranje je urejeno za rampo v naseljustrong . strong ogrevanje in sanitarna voda na toplarno!strong  strong nizki mesečni stroški!strong p 
p strong stanovanje je prazno in takoj vseljivo! prodaja se opremljeno!strong p 
p strong stanovanje priporočamo vsem aktivnim, ki si želijo živeti v mirnem in urejenem okolju. zaradi bližine fakultet je primerno tudi za oddajanje študentom.strong p 
p strong pokličite še danes!strong  strong veselimo se vašega klica!strong p 
p prodajni pogoj: kupec plača provizijo za posredovanje v višini 2% + ddv.br br dostopno prek: http:studio68.sipropertieslj-bezigrad-bs3-blizina-fakultetp div br  nepremicnine.net(c). div 
                div class= kontakt-opis  h3 kontaktni podatkih3 p 
        studio 68 d.o.o. br zaloška cesta 76br 1000 ljubljanabr tel.: a href= tel:051428-511  onclick= trackoutboundlink('studio 68 d.o.o. 051428-511', 'oglas-click-tel');  051428-511a  iris jamnikp div ",https://www.nepremicnine.net/oglasi-prodaja/bs-3-blizina-fakultet-stanovanje_6245852/
